px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0411901	-0.0411901	0	0	0	0	0	0	0	0	0	0.671406
1.55806	-0.0774156	1.54395	-4.16334e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.35752
1.66563	0.0104418	1.76368	-0.124212	-0.0480998	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.28131
3.85154	-0.12972	2.12458	-0.0258061	0.0102423	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	2.54
3.93122	0.0736483	2.42653	0.194131	0.0936303	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.5821
6.8031	0.40614	2.94129	0.0224106	-0.0960146	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	2.95202
6.72474	0.432251	2.71408	0.039514	-0.097623	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.57646
9.06682	0.591332	2.80208	0.0621844	-0.0197619	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.112044
9.03197	0.661092	2.71823	0.106207	0.00844838	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.22425
11.5524	1.65714	2.92218	0.559999	0.294439	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.731083
11.5302	1.62179	2.89632	0.548211	0.297014	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.484606
13.6227	2.34262	2.39937	0.393581	0.0144803	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.00467
13.6591	2.32207	2.51965	0.311028	-0.142043	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.21153
16.5514	2.8917	3.21816	-0.0555769	-0.288617	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	4.24817
16.496	2.87588	3.08315	-0.097297	-0.368702	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.802347
19.0282	3.68899	2.79837	0.304145	0.123155	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.08361
19.0864	3.71536	2.74414	0.361685	0.18529	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.3253
21.3182	4.72725	2.85539	0.489176	0.147159	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.14499
21.3803	4.73508	2.97555	0.443889	0.0748623	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.892228
24.0362	5.55795	3.2688	0.172158	-0.151301	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.88961
24.1343	5.58529	3.31603	0.135722	-0.18507	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.34137
26.6108	6.95262	3.26384	0.58916	0.228692	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.517032
26.5969	6.94622	3.28716	0.57133	0.200618	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0663049
29.5451	8.07159	3.53323	0.254867	-0.14234	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.09056
29.5201	8.05633	3.34987	0.227705	-0.171703	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.546087
31.9456	9.87073	3.34605	0.783282	0.302073	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.639809
31.9003	9.84987	3.32256	0.781009	0.306206	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.676242
34.6364	10.746	2.60219	0.283209	-0.21398	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.32401
34.7443	10.8105	2.90143	0.296337	-0.186609	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	3.00417
